<unk>	UNKNOWN
En la actualidad hay una estatua en su honor en el Parque del Retiro, en Madrid y en Oña, Burgos. Hay varias en España.	ACTUALIDAD PONCE ESTATUA HABER? DÓNDE? MADRID PARQUE RETIRO, BURGOS PUEBLO NOMBRE dl{OÑA}, ESPAÑA VARIOS-SITIOS.
En 1550 aproximadamente, un pintor sordo llamado Navarrete "el Mudo" pintó innumerables obras de temática religiosa.	AÑO 1 5 5 0 APROXIMADAMENTE, UNA PERSONA PINTOR SORDO, SIGNO NAVARRETE NOMBRE \dl{NAVARRETE} \dl{EL MUDO}. PINTORFAMOSO CUADRO++ ESPECÍFICO RELIGIÓN CUADRO++.
Muchas de ellas están en el Palacio de El Escorial en Madrid.	DÓNDE? PALACIO ESCORIAL \dl{ESCORIAL} PERTENECER DÓNDE? MADRID.
Desde el año 1800 con la Revolución Industrial hasta la actualidad comienzan las migraciones, y las sociedades crecen y cambian.	ÉPOCA ACTUAL, AÑO  1 8 0 0, REVOLUCIÓN INDUSTRIAL, HASTA ACTUALIDAD, CAMBIO. MÁS INMIGRAR EMIGRAR, POBLACIÓN++ AUMENTAR, SOCIEDAD CAMBIAR.
Por ejemplo se inventa la locomotora, el barco a vapor, la fotografía, el automóvil...	INVENTO++ EJEMPLO, LOCOMOTORA, BARCO VAPOR, FOTOGRAFÍA, AUTOMÓVIL, ETCÉTERA.
En el año 1919 estalla la Primera Guerra Mundial y en el 1939 la Segunda.	GUERRA MUNDIAL AÑO 1 9 1 9, PRIMER GUERRA MUNDIAL. AÑO 1 9 3 9 SEGUNDA GUERRA MUNDIAL.
En 1945 se crea la ONU con el objetivo de velar por los derechos humanos y la Paz.	AÑO 1 9 4 5 \dl{ONU} CREAR OBJETIVO DERECHO HUMANO, PAZ.
En el año 1978 se crea la Constitución Española y en el año 1992 España se adhiere a Europa.	ESPAÑA, AQUÍ AÑO 1 9 7 8 CONSTITUCIÓN CREAR. AÑO 1 9 9 2 ESPAÑA EUROPA ADHERIR.
La peseta da paso al euro en el año 2002.	AÑO 2 0 0 2 ESPAÑA AQUÍ PESETA FIN, CAMBIO EURO.
El primer profesor sordo del mundo es Prádez.	PRIMER PROFESOR SORDO MUNDO SIGNO PRÁDEZ NOMBRE \dl{PRÁDEZ}.
En el año 1851 aparece el primer diccionario de lengua de signos española	AÑO 1 8 5 1 PRIMER DICCIONARIO SIGNO++ ESPAÑA.
y en 1906 se crea en Madrid la primera asociación de personas sordas de España.	AÑO 1 9 0 6 PRIMERA ASOCIACIÓN SORDOS, CREAR DÓNDE? MADRID.
En 1936 se funda la Confederación Estatal de Personas Sordas Española cuyo presidente fue Juan Luis Marroquín	AÑO 1 9 3 6 CREAR CONFEDERACIÓN NACIONAL PERSONA++ SORDA ESPAÑA. PRESIDENTE QUIÉN? MARROQUÍN NOMBRE \dl{MARROQUÍN}.
Se conserva una estatua en la Fundación CNSE.	ESTATUA DÓNDE? FUNDACIÓN-CNSE
La Fundación CNSE se crea justo cuando estalla la Guerra Civil Española por lo que sufre un parón.	FUNDACIÓN-CNSE CREAR JUSTO ÉPOCA ESPAÑA GUERRA CIVIL,PARÓN.
Cerca de la creación de la ONU, en 1945, se crea la WFD (Federación Mundial de Personas Sordas) dirigida a velar por los derechos humanos y luchar contra la discriminación de las personas sordas en el mundo.	AÑO 1 9 4 5 \dl{ONU} CREAR, POCO DESPUÉS CREAR WFD, FEDERACIÓN MUNDIAL PERSONA++ SORDA. ATENCIÓN DERECHO HUMANO MUNDO PROBLEMA MARGINAR++, DEJAR-DE-MARGINAR++, FOMENTAR MUNDO PERSONA++ SORDA.
En 1978 en España se crea la Constitución Española que recoge todos los derechos humanos y por la que más adelante se luchará por incluir la lengua de signos.	ESPAÑA AÑO 1 9 7 8 CREAR CONSTITUCIÓN ESPAÑA. ÍNDICE TEMA++ DIFERENTE++ ESPECÍFICO DERECHO HUMANO. ÍNDICE DESPUÉS OBJETIVO LENGUA-DE-SIGNOS.
El año 2007 fue un hito histórico para las personas sordas en España ya que se reconoce oficialmente la lengua de signos	AÑO 2 0 0 7 HITO IMPORTANTE, LEY RECONOCER LENGUA-DE-SIGNOS
En la actualidad existen personas sordas destacadas y Andrés Rodríguez, sordo, ha escrito un libro en el que recopila a todos estos personajes españoles y nos cuenta sus logros. Mirad.	AHORA ÉPOCA MUCHO++ SORDO FAMOSO++. HACE-POCO LIBRO ESCRIBIR SORDA PERSONA NOMBRE \dl{ANDRÉS} \dl{RODRÍGUEZ} SIGNO ANDRÉS. LIBRO ESTE VARIOSPERSONA++ FAMOSA++. LIBRO ÉSTE CONTAR A-MI, MIRAR
